Original CQ ID,Original Competency Question,Status,Mapped Operationalized CQ,Rationale
CQ22,For what purpose do you use my data?,Consolidated,Q19: For what purpose do you use my data?,Duplicate purpose information need covered by Q19.
CQ23,How can I modify my personal information?,Directly operationalized,Q7: How can I modify my personal information?,Direct implementation of the personal-data modification information need.
CQ24,How does the OSN use my information collected from third-parties?,Consolidated,Q19: For what purpose do you use my data?,Covered by the broader purpose query; provenance from third parties is not separately operationalized.
CQ25,How does the OSN use the personal information provided by me?,Directly operationalized,Q11: How does the OSN use the personal information provided by me? | Q29: Which of my Identity data has been collected by the OSN and for which purpose?,The user-provided-data purpose requirement is directly evaluated by Q11; Q29 specializes the same data-plus-purpose pattern to identity data.
CQ26,What are the contents that have no definite storage duration specified?,Directly operationalized,Q13: What are the contents that have no definite storage duration specified?,Direct implementation of the indefinite storage-duration information need.
CQ27,What contents are stored for a maximum of 12 months?,Directly operationalized,Q8: What contents are stored for a maximum of 12 months?,Direct implementation of the value-constrained 12-month retention query.
CQ28,How long does the OSN store my location information?,Directly operationalized,Q14: How long does the OSN store my location information? | Q22: Which data practices act on Location?,The location information need is evaluated both as a storage-duration question (Q14) and as a practice-level question identifying which data practices act on Location (Q22).
CQ29,How can I see the location data (or any data) retained about me?,Not separately operationalized,,A user-facing mechanism for viewing retained data requires access/procedure information not separately tested in the current policy-level ABoxes.
CQ30,How long does it take the OSN to delete my account?,Directly operationalized,Q15: How long does it take the OSN to delete my account? | Q27: What is the procedure for requesting the erasure of personal data on the OSN and how long does it take to process the request?,The deletion-timing requirement is directly evaluated by Q15 and incorporated into the combined erasure-procedure and response-delay query Q27.
CQ31,Why the OSN may retain my information after I request to delete my account?,Not separately operationalized,,Reasons for post-deletion retention require policy-specific exception/purpose modeling beyond the current executable test set.
CQ32,How can I download the copy of my personal information collected and stored by the OSN?,Not separately operationalized,,Procedures for downloading a copy of personal data are not separately represented/tested in the current OPPO evaluation.
CQ33,How can I request the OSN to limit the usage of my personal information?,Not separately operationalized,,Requests to restrict or limit data use are outside OPPO's current modeled scope.
CQ34,Does the OSN use my information for advertisement purposes?,Consolidated,Q19: For what purpose do you use my data?,Advertising is a purpose-specific instance of the broader purpose query.
CQ35,What information do I need to provide to OSN and how long the information is being stored?,Consolidated,Q3: What information do I need to provide to the OSN and how long the information is being stored?,Covered by the operationalized query for user-provided information and its storage duration.
CQ36,Where and how does the OSN store my information?,Directly operationalized,Q6: Where and how does the OSN store my information?,Direct implementation of the general storage entity/location information need.
CQ37,How can I delete my account?,Directly operationalized,Q10: How can I delete my account? | Q27: What is the procedure for requesting the erasure of personal data on the OSN and how long does it take to process the request?,The account-erasure procedure is directly evaluated by Q10 and incorporated into the combined erasure-procedure and response-delay query Q27.
CQ38,Why does the OSN collect my cookie information?,Directly operationalized,Q12: Why does the OSN collect my cookie information?,Direct implementation of the purpose associated with cookie information.
CQ39,Does the OSN use my information for advertisement purposes?,Consolidated,Q19: For what purpose do you use my data?,Duplicate advertising-purpose information need covered by the broader purpose query.
CQ40,Who has access to my credit card information ?,Directly operationalized,Q16: Who has access to my credit card information ?,Direct implementation of the access/recipient question for credit-card information.
CQ41,How long does the OSN store my photos?,Directly operationalized,Q17: How long does the OSN store my photos?,Direct implementation of the storage-duration question for photo data.
CQ42,How does a third party collect my information?,Consolidated,Q28: Which types of personal data will be received by which third party?,Third-party collection/receipt is covered by the third-party recipient/data query; collection mechanism is not separately queried.
CQ43,For what purpose do you use my data?,Consolidated,Q19: For what purpose do you use my data?,Duplicate purpose information need covered by Q19.
CQ44,Does the company share user's information with a third party?,Consolidated,Q28: Which types of personal data will be received by which third party?,Covered by the query identifying third-party recipients and the data they receive.
CQ45,Does the social media access my location if I choose not to provide it ?,Not separately operationalized,,Whether location is accessed despite non-provision requires a conditional access scenario not separately tested in the current policy-level ABoxes.
CQ46,Why the social media collect my location information?,Consolidated,Q19: For what purpose do you use my data?,Location-specific purpose is covered by the broader purpose query.
CQ47,Does the third party follow the privacy practice?,Not separately operationalized,,Assessing a third party's own privacy practices requires information beyond a single OSN policy-level ABox.
CQ48,How can I access my personal information?,Not separately operationalized,,A user-facing procedure for accessing personal information is not separately operationalized in the current evaluation.
CQ49,How long my personal information is being stored and for which purposes?,Consolidated,Q3: What information do I need to provide to the OSN and how long the information is being stored? | Q19: For what purpose do you use my data?,Storage duration is covered by Q3 and purpose by Q19.
CQ50,How can I request the OSN to limit the usage of my personal information?,Not separately operationalized,,Requests to restrict or limit data use are outside OPPO's current modeled scope.
CQ51,How does a third party collect my data?,Consolidated,Q28: Which types of personal data will be received by which third party?,Third-party collection/receipt is covered by Q28; the mechanism of collection is not separately operationalized.
CQ52,Is there any practice that a third party does not involve in?,Not separately operationalized,,Determining practices in which a third party does not participate requires negative/absence-oriented evaluation beyond the current ABox test set.
CQ53,How does a third party receive my data from you?,Consolidated,Q28: Which types of personal data will be received by which third party?,Covered by the third-party recipient/data query.
CQ54,How the third party collects or receives user information?,Consolidated,Q28: Which types of personal data will be received by which third party?,Covered by the third-party recipient/data query; transfer mechanism is not separately queried.
CQ55,Will you share my data with a third party who does not involve in a practice?,Not separately operationalized,,This negative third-party participation condition requires absence/negative assertions beyond the current executable evaluation.
CQ56,How does a third party receive my data from you?,Consolidated,Q28: Which types of personal data will be received by which third party?,Duplicate third-party receipt information need covered by Q28.
CQ57,Does the company share user's contact information with a third party?,Consolidated,Q28: Which types of personal data will be received by which third party?,Contact-information sharing is a data-specific instance of the third-party recipient query.
CQ58,What types of my personal information does the OSN collect from other sources?,Not separately operationalized,,Identifying data collected specifically from external sources requires provenance/source modeling not separately tested in the current evaluation.
CQ59,How does a third party receive my data from you?,Consolidated,Q28: Which types of personal data will be received by which third party?,Duplicate third-party receipt information need covered by Q28.
CQ60,Do you collect my information to fulfill my additional requests or services?,Consolidated,Q19: For what purpose do you use my data?,Additional-service use is a purpose-specific instance of the broader purpose query.
CQ61,Does the company share user's contact information with a third party?,Consolidated,Q28: Which types of personal data will be received by which third party?,Duplicate contact-information sharing question covered by Q28.
CQ62,For what purpose do you use my data?,Consolidated,Q19: For what purpose do you use my data?,Duplicate purpose information need covered by Q19.
CQ63,What are purposes behind collecting or using my data?,Consolidated,Q19: For what purpose do you use my data?,Covered by the broader purpose query.
CQ64,Will you delete my data after performing the requested service?,Consolidated,Q9: Which of my personal information will be removed after I request to delete my account?,Covered by the erasure-practice query identifying personal information represented as removed.
CQ65,Is my information collected for the purpose of providing additional service?,Consolidated,Q19: For what purpose do you use my data?,Service provision is a purpose-specific instance of the broader purpose query.
CQ66,For what purpose do you use my data?,Consolidated,Q19: For what purpose do you use my data?,Duplicate purpose information need covered by Q19.
CQ67,Can I delete my OSN account?,Consolidated,Q10: How can I delete my account?,Equivalent account-erasure information need covered by Q10.
CQ68,Which of my personal information will be removed after I request to delete my account?,Directly operationalized,Q9: Which of my personal information will be removed after I request to delete my account?,Direct implementation of the data-erasure information need.
CQ69,Which of my personal information will still be available after I delete my account?,Not separately operationalized,,Identifying data that remains after account deletion requires explicit post-erasure retention/exception information not separately tested in the current ABoxes.
CQ70,Why does the OSN collect information by cookies?,Consolidated,Q12: Why does the OSN collect my cookie information?,Equivalent cookie-purpose information need covered by Q12.
CQ71,Does the website allow a third party to collect data using cookies?,Not separately operationalized,,Third-party cookie collection requires tracking/collection-mechanism modeling not separately tested in the current OPPO evaluation.
CQ72,For what purpose do you use my data?,Consolidated,Q19: For what purpose do you use my data?,Duplicate purpose information need covered by Q19.
CQ73,Do you collect my information to fulfill my additional requests or services?,Consolidated,Q19: For what purpose do you use my data?,Additional-service use is covered as a purpose-specific instance of Q19.
CQ74,Does the company share user's information for marketing purpose?,Consolidated,Q19: For what purpose do you use my data? | Q28: Which types of personal data will be received by which third party?,Marketing purpose is covered by Q19 and third-party receipt/sharing by Q28 where represented.
CQ75,What personal data does the OSN describe as storing on its servers?,Directly operationalized,Q30: What personal data does the OSN describe as storing on its servers?,Direct implementation of the storage-entity/data information need.
